行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
农、林、牧、渔业,江苏省,2,,,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15636412914,7818206457,13656044402,1980368512,7818206457,968125360.9,484062680.4,890459657.7,77665703.18,484062680.4,8829,4414.5,6639,2190,4414.5,15199003356,7599501678,14447406868,751596487.9,7599501678,30.42,37.69,23.15,30.42,97914176.14,48957088.07,83872500.91,14041675.23,48957088.07,29.875,30.02,29.73,29.875,996290488.5,498145244.2,915365449.8,80925038.64,498145244.2,353.145,371.65,334.64,353.145,346.555,373.01,320.1,346.555,72.285,81.77,62.8,72.285,1.17,1.83,0.51,1.17,0.265,0.34,0.19,0.265,0,0,0,0,0,0,0,0,0,418,209,331,87,209,57.34,85.18,29.5,57.34,12.745,20.16,5.33,12.745,45018754.71,22509377.36,30883221.73,14135532.98,22509377.36,181,90.5,154,27,90.5,612,306,330,282,306,0,0,0,0,0,34,17,19,15,17,127,63.5,67,60,63.5,0,0,0,0,0,76,38,59,17,38,0,0,0,0,0,39,19.5,29,10,19.5,0,0,0,0,0,74,37,59,15,37,19,9.5,10,9,9.5,4.5,5.03,3.97,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,5599063466,2799531733,5141237202,457826264.3,2799531733,477,238.5,281,196,238.5,0,0,0,0,0,240,120,123,117,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仪器仪表制造业,江苏省,14,,,,,1,,13,,7,,3,4,6,1,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,48496018226,3464001301.82714,21300520496,313689452.5,1475753500,1563208541,111657752.921429,864157913.8,-270089705.3,88059018.75,16562,1183,3593,148,824,16113605681,1150971834.33929,4943935152,97859190.18,716548589.1,34.1021428571429,68.83,8,31.2,1183844865,84560347.5271429,401621750.1,8693901.06,47729913.97,12.5928571428571,42.8,-37.29,14.04,2171520124,155108580.255714,1144352198,-97642759.22,90137207.74,167.485714285714,1831.52,-39.5,13.985,192.492857142857,2478.84,-46.15,3.615,19.6842857142857,57.7,-40.63,21.685,8.50357142857143,19.95,2.9,8.155,0.315,2.71,-1.66,0.4,94043133.83,94043133.83,94043133.83,94043133.83,94043133.83,108.42,108.42,108.42,108.42,4484,320.285714285714,1102,29,216,11.7092857142857,42.24,-35.79,12.45,8.99285714285714,28,-19.05,10.205,173440650.6,12388617.8964286,41492130.5,1133534.38,7481384.59,878.74,62.7671428571429,241,3.75,37.5,5211,372.214285714286,851,37,281.5,107,17.8333333333333,63,1,4,1103,78.7857142857143,388,3,43,630,45,123,4,28,0,0,0,0,0,473,33.7857142857143,82,3,36,11,11,11,11,11,214,17.8333333333333,50,2,15,11,11,11,11,11,415,29.6428571428571,64,2,33.5,111,10.0909090909091,31,1,7,25.4007142857143,39.46,11.63,26.39,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,18652028448,1332287746.31357,6432923312,38164213.31,558837576.2,14855,1061.07142857143,3578,78,684.5,0,0,0,0,0,2438,174.142857142857,559,19,112.5,107,17.8333333333333,63,1,4,6,2,4,1,1,0,0,0,0,0
造纸和纸制品业,江苏省,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,402930745.2,402930745.2,402930745.2,402930745.2,402930745.2,26731407.41,26731407.41,26731407.41,26731407.41,26731407.41,354,354,354,354,354,300913343.4,300913343.4,300913343.4,300913343.4,300913343.4,20.85,20.85,20.85,20.85,9130167.8,9130167.8,9130167.8,9130167.8,9130167.8,-22.87,-22.87,-22.87,-22.87,30650561.57,30650561.57,30650561.57,30650561.57,30650561.57,-29.45,-29.45,-29.45,-29.45,-26.76,-26.76,-26.76,-26.76,-11.02,-11.02,-11.02,-11.02,3,3,3,3,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,52,52,52,52,52,23.82,23.82,23.82,23.82,-1.63,-1.63,-1.63,-1.63,818653.1,818653.1,818653.1,818653.1,818653.1,3.58,3.58,3.58,3.58,3.58,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,13,13,13,13,13,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,8,8,8,8,8,0,0,0,0,0,14.87,14.87,14.87,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83964421.09,83964421.09,83964421.09,83964421.09,83964421.09,30,30,30,30,30,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他制造业,江苏省,3,,,,,,,3,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4550264491,1516754830.39667,2272601691,805553964,1472108836,374543823.8,124847941.273333,185374398.8,81912533.03,107256892,2472,824,1157,355,960,1844032556,614677518.826667,1033728918,348009968,462293670.7,10.6666666666667,14.17,3.85,13.98,124525046.9,62262523.43,92256698.66,32268348.2,62262523.43,7.14666666666667,8.63,5.18,7.63,430789425.3,143596475.103333,214478374.7,82317562.61,133993488,16.5966666666667,39.9,2.19,7.7,17.9666666666667,54.35,-1.03,0.58,-1.1,5.85,-8.05,-1.1,7.9,8.9,6.9,7.9,-0.845,-0.12,-1.57,-0.845,0,0,0,0,0,0,0,0,0,343,171.5,265,78,171.5,-4.565,-4.3,-4.83,-4.565,-3.56,-3.3,-3.82,-3.56,11553003.52,3851001.17333333,5297839.31,2497355,3757809.21,122.2,40.7333333333333,61,8.2,53,983,327.666666666667,615,160,208,6,3,4,2,3,277,92.3333333333333,209,18,50,184,61.3333333333333,150,15,19,0,0,0,0,0,62,20.6666666666667,28,14,20,0,0,0,0,0,32,16,24,8,16,0,0,0,0,0,88,29.3333333333333,50,17,21,60,30,45,15,30,22.665,23.1,22.23,22.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487445526,162481841.993333,316598359.4,57174930.59,113672236,2317,772.333333333333,1778,195,344,0,0,0,0,0,597,199,450,36,111,6,3,4,2,3,0,0,0,0,0,0,0,0,0,0
教育,江苏省,3,,,,,,,3,,2,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3231733815,1077244605,1841481158,293319394.4,1096933263,118465555.3,39488518.4333333,180783638.8,-140518139.8,78200056.3,2902,967.333333333333,1443,71,1388,1673566630,557855543.4,802812978.4,76104576.64,794649075.2,32.6433333333333,38.21,27.37,32.35,82435976.27,41217988.14,66850731.6,15585244.67,41217988.14,-11.75333333,20.92,-48.83,-7.35,164264991.3,54754997.0966667,199398221,-135095285,99962055.28,-1114.926667,166.48,-3639.16,127.9,-402.62,134.21,-1456.45,114.38,-9.19,-7.27,-11.11,-9.19,5.14,8.37,1.91,5.14,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,211,70.3333333333333,143,33,35,-18.72,-17.01,-20.43,-18.72,-11.3,-9.6,-13,-11.3,13801932.23,4600644.07666667,12363289.68,1829.01,1436813.54,101.57,33.8566666666667,59,1.57,41,108,54,103,5,54,0,0,0,0,0,16,8,14,2,8,5,2.5,3,2,2.5,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,2,4,2,2,2,2,2,19.7133333333333,46.47,2.57,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970406998.1,323468999.373333,503275327.8,112156238.9,354975431.5,179,89.5,168,11,89.5,0,0,0,0,0,20,10,16,4,10,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
综合,江苏省,5,,,,,2,,3,,1,1,,3,,1,,,1,,,,,,,,,,,,,,1,,,2,,,,,,,,75576924608,15115384921.522,55229825511,551299924.5,6304378109,186789558.5,37357911.7,408690769,-425630074.7,29587666.53,16301,3260.2,8444,429,2950,29633866183,5926773237,21718340555,286405780.8,3073270971,49.254,74.56,15.13,48.51,1076788702,215357740.4,744814736,12960615.19,84885368.88,2.506,17.93,-20.99,2,1341717537,268343507.4,1662303237,-488563926.5,-23919534.08,-113.63,183.08,-492.76,36.45,-140.378,116.5,-570.7,38.8,3.5325,11.59,-9.76,6.15,4.314,5.8,2.73,4.5,0.0175,0.66,-0.69,0.05,1338687.48,1338687.48,1338687.48,1338687.48,1338687.48,-35.34,-35.34,-35.34,-35.34,1220,305,749,86,192.5,-4.8,6.24,-11.23,-9.41,-1.884,5.5,-8.35,-3.01,124203792.7,24840758.55,67334463,2507134.5,14422828.1,215,43,73,12,45,2523,841,1385,95,1043,42,21,31,11,21,331,110.333333333333,178,28,125,336,112,220,17,99,0,0,0,0,0,233,77.6666666666667,136,12,85,2,2,2,2,2,73,24.3333333333333,43,1,29,2,2,2,2,2,211,70.3333333333333,120,7,84,31,15.5,16,15,15.5,17.11,25.25,7.49,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44697507071,8939501414,37109528585,410905874.4,3063162229,5321,1773.66666666667,2596,323,2402,0,0,0,0,0,951,317,488,47,416,42,21,31,11,21,12,6,6,6,6,0,0,0,0,0
废弃资源综合利用业,江苏省,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697863692,1697863692,1697863692,1697863692,1697863692,144204255.2,144204255.2,144204255.2,144204255.2,144204255.2,134,134,134,134,134,2569262413,2569262413,2569262413,2569262413,2569262413,14.18,14.18,14.18,14.18,59077653.35,59077653.35,59077653.35,59077653.35,59077653.35,14.89,14.89,14.89,14.89,166360812.4,166360812.4,166360812.4,166360812.4,166360812.4,-38.7,-38.7,-38.7,-38.7,-41.44,-41.44,-41.44,-41.44,-6.62,-6.62,-6.62,-6.62,2.3,2.3,2.3,2.3,-0.51,-0.51,-0.51,-0.51,0,0,0,0,0,0,0,0,0,21,21,21,21,21,-16,-16,-16,-16,3.73,3.73,3.73,3.73,5064799.74,5064799.74,5064799.74,5064799.74,5064799.74,40,40,40,40,40,66,66,66,66,66,1,1,1,1,1,13,13,13,13,13,14,14,14,14,14,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,15.31,15.31,15.31,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240127005.1,240127005.1,240127005.1,240127005.1,240127005.1,274,274,274,274,274,0,0,0,0,0,34,34,34,34,34,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
印刷和记录媒介复制业,江苏省,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,818338364,818338364,818338364,818338364,818338364,4531607,4531607,4531607,4531607,4531607,3007,3007,3007,3007,3007,792366102,792366102,792366102,792366102,792366102,32.45,32.45,32.45,32.45,0,0,0,0,0,-8.91,-8.91,-8.91,-8.91,12030713.5,12030713.5,12030713.5,12030713.5,12030713.5,-96.09,-96.09,-96.09,-96.09,-98.41,-98.41,-98.41,-98.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9198284.5,9198284.5,9198284.5,9198284.5,9198284.5,0.81,0.81,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265502878,265502878,265502878,265502878,265502878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卫生和社会工作,江苏省,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18279838295,18279838295,18279838295,18279838295,18279838295,-472712319,-472712319,-472712319,-472712319,-472712319,36827,36827,36827,36827,36827,8532842663,8532842663,8532842663,8532842663,8532842663,55.13,55.13,55.13,55.13,104377036.4,104377036.4,104377036.4,104377036.4,104377036.4,-6.8,-6.8,-6.8,-6.8,-379206930.3,-379206930.3,-379206930.3,-379206930.3,-379206930.3,-193.91,-193.91,-193.91,-193.91,-393.52,-393.52,-393.52,-393.52,-24.39,-24.39,-24.39,-24.39,1.28,1.28,1.28,1.28,-0.28,-0.28,-0.28,-0.28,48022847.5,48022847.5,48022847.5,48022847.5,48022847.5,-38.24,-38.24,-38.24,-38.24,326,326,326,326,326,5.97,5.97,5.97,5.97,5.19,5.19,5.19,5.19,27960806.11,27960806.11,27960806.11,27960806.11,27960806.11,271,271,271,271,271,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.88,0.88,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10083106400,10083106400,10083106400,10083106400,10083106400,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
文教、工美、体育和娱乐用品制造业,江苏省,3,,,,,,,3,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,14162714718,4720904905.92333,10054162805,1278102999,2830448914,521097106.5,173699035.483333,447037607.5,34439141,39620357.97,12149,4049.66666666667,7350,803,3996,10061919643,3353973214,7116731876,474436426.2,2470751341,36.7366666666667,52.57,19.14,38.5,447577151.8,149192383.943333,349275781,19016587.99,79284782.84,-5.856666667,7.3,-13.35,-11.52,614510746.7,204836915.6,481146487.6,46824029.6,86540229.5,10.9033333333333,22.45,-6.73,16.99,-2.106666667,43.59,-67.49,17.58,3.07,6.88,0.42,1.91,4.1,4.99,3.24,4.07,0.373333333333333,0.6,-0.06,0.58,0,0,0,0,0,0,0,0,0,414,207,343,71,207,-9.18,-5.99,-12.37,-9.18,-11.83,8.14,-27,-16.63,50781941.45,16927313.8166667,37345929.2,3237451.79,10198560.46,132.42,44.14,89,8.42,35,10853,3617.66666666667,10427,77,349,109,54.5,105,4,54.5,509,169.666666666667,468,20,21,274,91.3333333333333,249,6,19,0,0,0,0,0,413,137.666666666667,390,5,18,2,2,2,2,2,112,37.3333333333333,104,4,4,2,2,2,2,2,541,180.333333333333,510,6,25,57,19,51,3,3,8.665,8.7,8.63,8.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6317873891,2105957963.80667,5284283420,492467609.4,541122862.5,7438,2479.33333333333,6907,206,325,0,0,0,0,0,1304,434.666666666667,1155,42,107,113,56.5,109,4,56.5,9,4.5,8,1,4.5,0,0,0,0,0
石油加工、炼焦和核燃料加工业,江苏省,2,,,,,1,,1,,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1817299718,908649859,1469828280,347471438,908649859,-15516482.62,-7758241.31,11458931,-26975413.62,-7758241.31,719,359.5,660,59,359.5,978818640.9,489409320.5,721630971.9,257187669,489409320.5,34.04,54.54,13.54,34.04,33875050.47,16937525.24,24959923.47,8915127,16937525.24,7.525,45.08,-30.03,7.525,-2347403.17,-1173701.585,26205219,-28552622.17,-1173701.585,-3.38,105.19,-111.95,-3.38,-64.13,-1.77,-126.49,-64.13,4.275,15.53,-6.98,4.275,3.455,3.49,3.42,3.455,0,0.89,-0.89,0,0,0,0,0,0,0,0,0,0,89,89,89,89,89,1.17,1.17,1.17,1.17,-8,-8,-8,-8,681257,340628.5,623210,58047,340628.5,19.1,9.55,18,1.1,9.55,271,135.5,142,129,135.5,0,0,0,0,0,38,19,23,15,19,28,14,19,9,14,0,0,0,0,0,28,14,17,11,14,0,0,0,0,0,9,4.5,7,2,4.5,0,0,0,0,0,42,21,25,17,21,11,5.5,8,3,5.5,13.39,13.39,13.39,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848911972.4,424455986.2,801911133.4,47000839,424455986.2,461,230.5,246,215,230.5,0,0,0,0,0,110,55,56,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
化学纤维制造业,江苏省,11,,2,,,1,,7,1,7,,,4,5,,1,,,,,,,1,,,,,,,,,1,1,,2,,,,,,,,207819508016.76,18892682546.9782,166511735631.73,1429770504,2708038818,2743508147,249409831.587273,822389986.2,-188782191.1,83540874.87,40028,3638.90909090909,27405,366,1127,94352929020,8577539001.80727,63822363720,519895062.8,1994804487,35.7854545454545,99.06,6.13,33.5,2064426843,206442684.3,1601837438,9604032.39,45334252.17,22.9763636363636,93.54,-33.2,21.03,2977762927,270705720.609091,1055853802,-180503382.4,94604483.32,-2.828181818,156.13,-275.66,-17.34,3.70636363636364,192.98,-237.41,-18.56,24.098,160.72,-11.68,7.46,3.6,7.73,0.27,3.53,-0.155,2.77,-4.06,-0.135,143922.5,143922.5,143922.5,143922.5,143922.5,-91.62,-91.62,-91.62,-91.62,3545,354.5,2532,40,111,26.23,122.55,-12.5,8.255,13.4863636363636,97.73,-16.4,5.49,300285398.9,27298672.6281818,113129074.4,547591.3,8840646.9,1805,164.090909090909,789,17,34,1770,160.909090909091,512,24,124,21,7,17,2,2,196,19.6,56,1,16,283,25.7272727272727,93,3,23,0,0,0,0,0,310,28.1818181818182,120,1,11,4,2,2,2,2,136,15.1111111111111,50,1,9,4,2,2,2,2,208,26,100,4,12.5,39,5.57142857142857,16,2,4,11.378,19.4,5.33,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143907817873.39,13082528897.5809,130814145126.88,134062481.5,952576273.1,3347,304.272727272727,680,57,229,0,0,0,0,0,785,71.3636363636364,169,11,72,21,7,17,2,2,8,1.6,3,1,1,0,0,0,0,0
家具制造业,江苏省,5,,,,,,,5,,1,1,,3,1,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,15546513893,3109302779,9075677314,364149432,2201903235,447474801.6,89494960.32,334117284.7,-91279189.65,51972665.72,13879,2775.8,7510,265,2275,11653602643,2330720529,8017242009,236879868.7,1462659269,39.832,66.23,13.34,37.56,268094472.7,53618894.54,97456964.64,10781654,53604623.79,-10.342,-1.5,-24.08,-8.53,564363842.6,112872768.5,386991416.8,-104789516.8,96819452.82,55.542,175.56,-44.05,12.47,53.95,180.8,-34.79,11.91,-8.658,14.31,-23.96,-14.23,3.922,6.68,1.14,3.91,0.256,1.75,-0.51,-0.36,0,0,0,0,0,0,0,0,0,1035,258.75,374,139,261,-4.48,-1.8,-6.3,-4.91,6.488,83.12,-17.85,-14.97,47154655.27,9430931.054,26555093.9,254035,6662675.45,136.61,27.322,49,1.61,25,2031,507.75,711,251,534.5,3,3,3,3,3,66,16.5,22,9,17.5,83,20.75,41,5,18.5,0,0,0,0,0,464,116,218,50,98,0,0,0,0,0,26,6.5,10,2,7,0,0,0,0,0,429,107.25,191,54,92,14,3.5,7,1,3,9.6375,12.19,5,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8006674119,1601334824,6014479525,103944344,414779470.8,957,239.25,290,201,233,0,0,0,0,0,220,55,72,34,57,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
