企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
机总院泽研咨询公司,111095,2022,2388767667.0,67744846.0,1918.0,2228642376.0,63.03,70163465.0,10.6,83978654.0,-73.09,-75.1,6.98,3.18,-0.13,,,,,20.93,10744518.0,9.27,412.0,,17.0,20.0,,60.0,,7.0,,75.0,2.0,,,,,,,,,,,1505181726.0,387.0,,77.0,,,
环丘泽鸿电力器材公司,111218,2022,2826599967.0,87111043.61,1388.0,2083126284.75,49.38,84931839.51,8.31,97725903.89,58.0,59.3,10.31,4.03,0.04,,,178.0,5.24,4.96,21407255.43,38.0,488.0,,32.0,68.0,,40.0,,5.0,,23.0,1.0,12.93,,,,,,,,,,1395511056.07,987.0,,128.0,,2.0,
北景建达泰路桥公司,111350,2022,3623767956.55,67349541.3,1134.0,1992759953.38,51.38,64980268.8,-22.37,77500922.94,-39.27,-37.81,-24.99,3.24,-0.1,,,236.0,-19.1,-26.48,2489087.03,30.0,77.0,,7.0,11.0,,13.0,,2.0,,13.0,3.0,20.51,,,,,,,,,,1860180392.93,80.0,,26.0,,,
安步昌盛服饰公司,111470,2022,238145941.0,-10321768.0,297.0,142413128.0,40.86,,4.18,-6347632.0,74.6,58.7,,,,,,,,-3.37,,1.51,,,,,,,,,,,,,,,,,,,,,,97270812.0,,,,,,
广达数云数据服务公司,111518,2022,2030825495.0,-125718951.0,894.0,785705789.0,37.7,131803994.0,-23.7,-191438231.0,43.06,53.9,-16.86,16.76,1.36,,,136.0,-62.69,-28.2,,1.74,,,,,,,,,,,,14.82,,,,,,,,,,765602777.0,,,,,,
金飞慧数信息技术公司,111615,2022,5783558531.17,41276912.46,3588.0,1527139351.21,20.49,318043175.37,-19.55,52902742.72,-88.3,-90.05,0.61,20.88,4.15,139102875.26,8.44,1297.0,1.87,3.92,2547332.12,138.0,127.0,,27.0,27.0,,21.0,,15.0,,5.0,3.0,36.2,,,,,,,,,,1181767195.8,522.0,,109.0,,,
瑞芯创耀微电子公司,111653,2022,3123179413.0,336342942.21,574.0,8916624406.0,71.36,34477752.0,3.4,404764544.27,3.4,3.4,3.4,0.37,,,,,,,1136578.0,9.01,63.0,,4.0,24.0,,4.0,,2.0,,2.0,,,,,,,,,,,,2228137370.0,95.0,,38.0,,,
杰杰创腾智能装备公司,111665,2022,2925268969.4,261715632.9,1872.0,1220002622.74,34.36,114349861.81,34.61,292189743.71,26.95,24.69,15.6,9.31,-1.51,10412854.2,-23.1,301.0,-17.13,16.73,7256497.36,89.0,507.0,,126.0,136.0,,3.0,,3.0,,29.0,18.0,16.14,,,1.0,,,,,,,1005439431.0,1618.0,,292.0,,,
岭南盛昌有色金属公司,111744,2022,96935024434.0,186002137.0,29394.0,131072015856.0,39.35,2621006678.0,-4.1,218005824.0,-97.56,-97.37,-0.89,2.0,0.0,,,2188.0,20.95,-3.68,87000835.0,177.0,9043.0,11.0,2235.0,1735.0,,603.0,,401.0,,591.0,272.0,7.4,,,,,,,,,,38138011566.0,24272.0,,4483.0,11.0,,
牧原旺沃生态农业公司,111984,2022,4716147695.72,42898142.38,1598.0,1216771469.14,34.18,14236701.9,15.66,64599960.56,-72.32,-79.7,35.75,1.13,0.19,,,105.0,111.0,50.32,19055582.46,51.0,60.0,,2.0,4.0,,,,,,7.0,1.0,6.86,,,,,,,,,,1610231401.47,89.0,,6.0,,,
华微微创材料公司,112202,2022,4964250902.61,429284100.12,785.0,1175312927.5,11.31,84704931.0,35.25,429461921.38,153.64,121.93,10.84,7.2,-1.57,,,85.0,,10.11,41749795.0,195.0,352.0,2.0,100.0,79.0,,30.0,,21.0,,24.0,15.0,10.83,,,,,,,,,,564613303.72,912.0,,232.0,2.0,6.0,
大花盛表仪表公司,112563,2022,3539088913.76,275593793.2,2449.0,1060505952.52,31.97,84942551.05,2.87,305725453.33,5.34,7.51,42.46,8.03,2.25,,,148.0,60.0,13.06,54621776.57,103.0,454.0,,29.0,44.0,,28.0,,6.0,,19.0,4.0,5.82,,,,,,,,,,1129450624.98,688.0,,109.0,,,
利特塑润新材料公司,112725,2022,2518665453.25,148926582.16,3640.0,1709346557.77,44.58,55693094.18,15.7,162931014.95,3.4,6.6,3.01,3.29,-0.4,,,183.0,25.0,16.26,18248994.28,23.0,463.0,1.0,42.0,73.0,,76.0,,27.0,,51.0,5.0,5.08,,,,,,,,,,1121252705.98,514.0,,189.0,1.0,,
万会昌昌不动产公司,112883,2022,14599538546.0,-876670584.0,,8636817883.0,42.68,,3.53,-809785636.0,-152.8,-174.06,,,,,,,,,73227487.0,35.0,,,,,,,,,,,,,,,,,,,,,,6232333233.0,,,,,,
果融恒昌资产管理公司,112956,2022,753607500784.56,5196157793.13,12125.0,25948195617.43,76.48,,-39.98,7911525472.58,-57.17,-62.2,,,,,,,,4.4,819745967.87,1046.0,33.0,,11.0,3.0,,16.0,,12.0,,7.0,4.0,,,,,,,,,,,575985556624.45,31.0,,28.0,,,3.0
锌锗冶达冶炼公司,113061,2022,46324752327.57,150029618.41,13466.0,51657983362.63,53.75,1521201124.6,-17.61,386310042.51,-92.9,-96.23,9.95,2.96,0.7,,,1842.0,1.9,-1.53,25943242.95,107.0,524.0,,27.0,30.0,,107.0,,38.0,,66.0,7.0,13.7,,,,,,,,,,24915021859.08,580.0,,121.0,,2.0,2.0
驰宏冶冶有色金属公司,113141,2022,5275270941.06,-112036987.5,3618.0,5412571663.32,58.57,185873724.4,-3.39,-89243535.4,-162.47,-188.33,-3.31,3.48,,,,548.0,-4.29,-7.43,27631950.88,40.0,415.0,,25.0,8.0,,14.0,,2.0,,22.0,,14.98,,,,,,,,,,3087436910.29,316.0,,47.0,,3.0,
东方育锦教育咨询公司,113241,2022,1369724566.0,96185717.0,172.0,277585286.0,67.34,,-87.79,122384153.0,108.57,101.26,,,,,,,,-97.46,10079343.0,3.67,,,,,,,,,,,,,,,,,,,,,,922031594.0,,,,,,
亚玮泽智科技公司,113342,2022,648635172.1,-38884030.2,493.0,228665940.42,33.56,13212352.98,7.73,-38686445.37,-248.77,-233.7,29.81,5.72,0.93,,,53.0,6.0,1.4,3547708.13,16.0,180.0,,10.0,2.0,,16.0,,,,18.0,,10.6,,,,,,,,,,217358894.55,306.0,,13.0,,,
前无忧租锦商务公司,113435,2022,132114021.4,-65803000.8,64.0,176329445.0,37.41,1539632.2,-42.29,-74728758.2,14.73,-271.43,-26.8,0.81,0.1,,,3.0,-75.0,-24.78,,0.65,,,,,,,,,,,,4.64,,,,,,,,,,49471235.8,,,,,,
果电盛盛燃气公司,113493,2022,7388494502.73,111080656.5,2244.0,4144286574.9,55.88,88303225.6,24.15,145069323.84,-42.89,-48.3,78.02,2.17,0.69,349007.6,-7.83,321.0,31.1,1.57,22514823.89,66.0,421.0,,86.0,116.0,,30.0,,6.0,,38.0,,14.23,,,,,,,,,,4129702992.62,1427.0,,162.0,,1.0,
德西创源电气公司,113518,2022,17003296740.77,467969858.51,3914.0,9576796760.32,72.79,291822039.48,64.5,642301661.71,256.8,216.48,61.5,3.03,-0.07,,,837.0,72.42,51.36,25729250.17,152.0,384.0,11.0,72.0,59.0,,59.0,1.0,24.0,1.0,42.0,10.0,21.33,,,,,,,,,,12372071637.24,1236.0,,214.0,11.0,,1.0
众海工筑锦建筑设计公司,113648,2022,8392766097.28,-749088578.11,590.0,1330664841.02,63.23,52417592.9,-48.66,-863936318.8,-263.46,-256.2,-40.01,3.96,0.59,2358588.09,-43.78,336.0,-42.94,-28.03,6170026.04,25.0,146.0,,21.0,3.0,,,,,,15.0,,55.82,,,,,,,,,,5309105105.07,290.0,,27.0,,,
康盛康健药业股份公司,113654,2022,7982322123.74,587696325.24,2099.0,2405181783.31,14.02,98063907.0,21.99,663427387.08,44.07,50.1,54.69,4.0,0.89,22698861.03,-18.22,161.0,-4.18,28.63,15397348.4,145.0,96.0,,20.0,4.0,,13.0,,2.0,,8.0,,7.63,,,,,,,,,,1121195364.63,220.0,,32.0,,,
山汽驰骏智能汽车公司,113800,2022,9332627927.65,472942208.67,7058.0,6946695015.75,55.77,306185866.33,50.6,537250931.43,72.5,65.37,36.28,4.46,-0.4,,,984.0,47.31,70.26,13280763.36,215.0,362.0,,7.0,65.0,,114.0,,8.0,,100.0,2.0,13.9,,,,,,,,,,5203200988.57,278.0,,109.0,,,
华鲁昌锦新材料公司,113938,2022,999962275.63,71661526.38,363.0,353537258.28,22.03,23751117.22,-7.3,76422044.64,-14.15,-12.07,10.05,6.78,1.07,,,55.0,5.79,-2.4,11962198.87,30.0,175.0,,108.0,22.0,,2.0,,2.0,,13.0,8.0,15.04,,,,,,,,,,220850609.56,995.0,,133.0,,,
平告电盛科技公司,114325,2022,1556483027.33,43927592.9,1018.0,639159808.6,34.97,56857548.7,51.74,42321207.1,35.63,35.75,26.92,8.9,-1.77,,,299.0,26.03,35.04,14143518.01,50.0,321.0,,27.0,52.0,,66.0,,35.0,,47.0,19.0,28.6,,,1.0,,,,,,,544561566.5,239.0,,159.0,,,
丽邦织锦纺织公司,114881,2022,501324733.78,-11818371.74,364.0,183774781.24,18.2,,4.61,-18593899.0,-45.51,-764.34,,,,,,,,-2.7,3526767.76,1.76,,,,,,,,,,,,,,,,,,,,,,91412964.5,,,,,,
众花昌荣新材料公司,114898,2022,53222744165.01,7045677596.1,11371.0,75313216093.65,63.56,485151472.77,19.09,8559949793.76,66.73,67.4,59.33,0.69,0.1,117379593.67,-23.25,203.0,27.05,-0.2,183444727.5,318.0,1211.0,1.0,240.0,244.0,,243.0,,101.0,,156.0,26.0,1.72,,,5.0,,,,,1.0,,33810027448.22,2661.0,,615.0,1.0,4.0,3.0
美能电光家电公司,115057,2022,2077670662.38,121679265.54,1305.0,1043653018.6,18.8,39004160.36,-0.7,138775994.8,-19.07,-16.9,17.97,3.78,0.54,,,141.0,,-0.99,9870319.4,35.0,198.0,,7.0,5.0,,32.0,,8.0,,28.0,2.0,11.1,,,,,,,,,,392128882.57,112.0,,20.0,,,
联花泽锦贸易公司,115955,2022,26071364953.51,1284423366.69,2283.0,193604737163.8,70.25,44037315.34,8.6,1696746321.32,33.8,27.86,370.28,0.08,0.03,13285572.13,113.88,98.0,27.24,6.92,89868291.23,61.0,36.0,,4.0,2.0,,2.0,,2.0,,12.0,3.0,4.3,,,,,,,,,,18305133690.11,15.0,,12.0,,,
用丰信创科技公司,116189,2022,11545583877.32,1012462497.7,10664.0,6552351759.43,41.07,1858345514.16,17.8,1096138597.18,44.51,40.82,14.26,28.35,-0.89,435422664.9,22.83,4333.0,10.3,12.61,63726959.89,544.0,773.0,,56.0,41.0,,112.0,,100.0,,40.0,22.0,40.65,,,,,,,,,,4744383443.45,820.0,,546.0,,1.0,
衡信盛锦投资管理公司,116409,2022,349262864221.0,8775037353.0,71045.0,58115749945.0,72.82,,-6.03,13013209325.0,-44.32,-47.41,,,,,,744.0,-42.77,-23.12,408163173.0,239.0,2.0,,,1.0,,,,,,,,1.03,,,,,,,,,,254476160585.0,10.0,,1.0,,,
雅居柏朴定制家居公司,116457,2022,5988722061.45,218746064.6,2955.0,3208303988.1,59.07,150611795.6,11.72,271255801.3,42.2,18.63,13.9,4.66,0.07,6841105.3,191.38,721.0,-4.53,-3.15,87514550.41,56.0,2000.0,30.0,57.0,12.0,,313.0,,69.0,,266.0,11.0,24.63,,,,,,,,,,3536110144.53,1555.0,,257.0,30.0,,
北景建筑昌建筑工程公司,116459,2022,149062001560.84,1832489322.41,18085.0,80119518767.7,84.59,1474468640.75,12.32,2272463358.84,25.9,29.6,22.97,1.86,0.1,,,2188.0,13.4,6.18,45359941.6,91.0,2514.0,,221.0,164.0,,554.0,,228.0,,467.0,46.0,12.05,,,,,,,,,,126079795857.6,3029.0,,947.0,,1.0,
平告电泰高压开关公司,117103,2022,3562240110.38,17280430.31,1167.0,2016826216.18,40.8,87913329.88,-13.98,19694051.0,164.91,146.17,-15.1,4.39,-0.05,,,180.0,20.77,-7.13,8301504.7,31.0,366.0,4.0,57.0,66.0,,14.0,,8.0,,25.0,8.0,15.91,,,1.0,,,,,,,1454495069.38,1237.0,,157.0,4.0,10.0,
日法精昌智能装备公司,117104,2022,5219356646.44,79246465.45,2652.0,2182044733.64,35.65,81239683.02,-11.07,78070126.18,-30.84,-23.02,-1.4,3.74,0.3,,,231.0,-10.64,-3.93,3774119.58,34.0,354.0,1.0,14.0,8.0,,45.0,1.0,13.0,1.0,36.0,1.0,8.87,,,,,,,,,,1862180691.82,328.0,,37.0,1.0,2.0,
秦传机泽设备公司,117256,2022,1280399908.46,96765171.98,487.0,467519867.58,19.6,20345863.32,0.01,92779506.93,-1.42,6.83,5.27,4.3,0.29,,,63.0,,2.39,12080591.93,49.0,66.0,,8.0,5.0,,10.0,,3.0,,8.0,,13.1,,,,,,,,,,251181595.03,75.0,,25.0,,,
长桥创锦科技公司,117410,2022,3876539741.97,-41945508.34,1759.0,2207154249.26,62.76,134293474.3,-24.08,-78163647.06,-149.92,-129.72,1.1,6.0,1.56,,,220.0,-26.3,-43.52,21494705.7,27.0,710.0,1.0,43.0,84.0,,113.0,,53.0,,91.0,7.0,12.93,,,,,,,,,,2431721933.87,671.0,,241.0,1.0,,
海丽炫锦电气公司,117590,2022,2248583916.36,193067908.63,1577.0,1065678255.23,27.52,64475991.82,46.89,218572710.73,56.55,60.55,51.94,6.06,0.22,,,80.0,-13.01,25.83,8787386.86,116.0,167.0,14.0,5.0,21.0,,24.0,,10.0,,11.0,1.0,5.05,,,,,,,,,,619496392.07,191.0,,45.0,14.0,,
创玮悦智电子公司,117824,2022,461842704.58,32910182.59,1893.0,427080931.63,21.05,20107804.32,-18.79,31852761.91,-27.75,-18.56,2.63,4.77,0.95,,,96.0,21.54,-2.1,3657710.63,6.07,54.0,,1.0,2.0,,8.0,,,,15.0,,5.03,,,,,,,,,,97319441.3,33.0,,5.0,,,
华鲁锦泽石化公司,117826,2022,2518134959.91,5737875.47,649.0,3162888815.05,66.95,51282505.65,6.31,3229599.98,-93.8,-88.66,-1.19,1.65,-0.19,,,90.0,32.39,12.84,4459387.82,18.0,120.0,11.0,33.0,17.0,,32.0,3.0,28.0,3.0,11.0,8.0,14.08,,,,,,,,,,1686878242.95,293.0,,97.0,11.0,1.0,
山拉智工装备公司,117862,2022,30784484762.25,662115248.59,4709.0,6396328433.74,64.52,189780010.35,465.93,734977216.41,395.44,388.24,266.06,2.93,-1.69,,,169.0,-12.88,388.13,10034558.98,39.0,493.0,4.0,42.0,32.0,,25.0,,7.0,,22.0,2.0,3.41,,,1.0,,,,,,,19875033790.01,1064.0,,135.0,4.0,,
万昌娱传媒公司,117888,2022,10210980756.0,-1408856397.0,3067.0,792985931.0,73.75,,-67.71,-1418381742.0,-219.44,-269.8,,,,,,,,-27.0,54088392.0,89.0,,,,,,,,,,,,,,,,,,,,,,7534596296.0,,,,,,
协程租务人力资源公司,117940,2022,66948494.5,-1285495.5,22.0,36921299.78,21.87,,-34.07,-2587411.74,92.27,95.54,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,14611397.21,,,,,,
长桥电悦电气公司,117958,2022,3322650810.25,-591081383.16,4544.0,1576821171.24,60.3,690672951.02,-39.65,-553661893.33,-1015.93,-1039.4,-9.1,43.8,14.79,,,1978.0,-17.84,-11.49,29043412.08,34.0,1139.0,30.0,390.0,117.0,,129.0,,63.0,,172.0,94.0,43.56,,,,,,,,,,2003627727.2,4452.0,,752.0,30.0,2.0,1.0
瑞富泰瑞资产管理公司,118023,2022,51661019378.53,649942359.69,2161.0,2008124485.27,67.37,,-26.76,796818270.85,-37.5,-34.02,,,,,,,,4.29,14283534.63,305.0,2.0,,,,,,,,,,,,,,,,,,,,,34810563006.59,,,2.0,,,
灿芯耀芯微电子公司,118035,2022,3558994128.06,211056079.55,839.0,1514135462.28,16.9,418575412.04,-26.68,220814147.9,-56.33,-57.36,8.74,27.69,9.05,,,681.0,17.5,11.91,72749051.67,178.0,662.0,15.0,335.0,124.0,,60.0,,59.0,,43.0,42.0,82.0,,,,,,,,,,601302126.84,3499.0,,656.0,15.0,,
环丘泰锦电器设备公司,118228,2022,1867815174.34,73855398.32,1091.0,1636310753.48,49.43,59977137.23,30.42,79211569.8,17.5,22.4,46.91,3.6,0.4,531972.1,-85.5,123.0,1.61,16.98,3212033.04,34.0,567.0,5.0,41.0,53.0,,41.0,,12.0,,52.0,3.0,11.11,,,,,,,,,,922803729.77,856.0,,178.0,5.0,,
陵有色冶达资源公司,118250,2022,2855769188.5,41074316.5,2367.0,2114939889.5,50.17,88687481.77,-5.4,49510555.0,-33.59,-38.88,3.05,4.17,0.37,,,,,2.53,16334470.0,3.1,,,,,,,,,,,,,,,,,,,,,,1433005384.73,,,,,,
林洋盛精测量设备公司,118517,2022,961527780.89,44624858.12,509.0,355003910.05,14.0,38401182.0,-3.79,51285034.5,-33.32,-35.72,22.33,10.84,2.34,,,129.0,18.86,13.55,711749.0,30.0,175.0,,8.0,4.0,,51.0,,20.0,,37.0,3.0,23.87,,,,,,,,,,134855377.5,228.0,,51.0,,,
龙河产置地产控股公司,118787,2022,9616344870.5,102790019.77,622.0,326467334.29,28.48,,10.4,-69253732.74,-124.47,-49.5,,,,,,,,-5.45,,8.94,,,,,,,,,,,,,,,,,,,,,,2732858804.5,,,,,,
万花昌化化工公司,118968,2022,586751864.55,32028491.98,425.0,368950962.85,35.4,15360495.24,-8.01,33041334.04,-8.31,-2.52,11.82,4.11,0.71,,,55.0,10.0,4.11,3036040.5,4.08,128.0,2.0,16.0,9.0,,,,,,8.0,8.0,13.0,,,,,,,,,,208034526.0,147.0,,26.0,2.0,,
航发昌锦重工公司,119058,2022,1240928583.87,-45815590.1,658.0,412543331.2,21.7,69485365.22,-13.28,-62067136.55,-1428.27,-535.47,-0.91,16.81,2.05,,,250.0,2.06,1.21,3745236.1,36.0,591.0,,50.0,15.0,,108.0,,26.0,,124.0,8.0,38.8,,,,,,,,,,270148200.7,437.0,,129.0,,,
锌锗盛锦矿业公司,119067,2022,4435947472.17,188025831.13,2739.0,4221401932.14,57.46,158463831.39,62.52,169719979.1,50.43,55.39,40.81,3.74,-0.51,,,272.0,7.58,27.81,50530340.0,61.0,335.0,,49.0,143.0,,31.0,,31.0,,9.0,9.0,9.92,,,,,,,,,,2548074419.9,381.0,,268.0,,,
宝新科慧软件公司,119140,2022,2685327819.1,-326132016.96,3336.0,1219711922.3,41.85,126293523.62,1.49,-255998247.3,33.0,14.39,-29.66,10.37,-4.52,2002777.09,-96.78,474.0,-34.98,-16.21,16710398.13,71.0,782.0,7.0,72.0,105.0,,84.0,,24.0,,107.0,7.0,14.1,,,,,,,,1.0,,1124390469.07,963.0,,263.0,7.0,1.0,
灿芯辉芯半导体公司,119152,2022,13560125194.4,2383043416.57,7277.0,7266868573.11,28.07,579863740.86,28.43,2754126481.43,56.77,59.17,17.24,7.99,-0.7,,,1021.0,18.17,3.43,88467532.02,491.0,3187.0,9.0,483.0,454.0,,344.0,,138.0,,277.0,66.0,14.04,,,3.0,,,,,,,3807432258.15,5015.0,,1440.0,9.0,,
环丘泰盛智能电气公司,119162,2022,1554739307.65,-40633535.41,605.0,311913248.15,29.29,38294336.89,8.33,-40054641.0,-22.46,-19.66,15.11,12.26,0.74,7820885.84,-10.43,198.0,4.3,8.29,10805966.92,36.0,222.0,2.0,56.0,35.0,,9.0,,4.0,,7.0,6.0,32.22,,,,,,,,,,454351349.15,901.0,,101.0,2.0,,
良有源锦高压开关公司,119349,2022,2569672834.06,41089072.45,1151.0,1312166737.6,51.55,36870997.07,27.48,48949234.77,40.56,81.41,12.34,2.89,-0.32,5360188.69,-9.52,151.0,,23.14,5782968.72,38.0,302.0,,19.0,14.0,,46.0,,11.0,,74.0,1.0,13.79,,,,,,,,,,1325429718.55,312.0,,63.0,,,
保禾泽产置业公司,119553,2022,39318577051.1,-1738557404.16,1958.0,6384843175.3,98.5,,-35.58,-332020318.88,74.82,34.77,,,,,,,,14.69,,1.27,6.0,,,,,,,,,2.0,,,,,,,,,,,,38762168206.7,,,,,,
众课科云数据服务公司,119555,2022,6184160476.0,-1159213528.0,3315.0,1816358468.0,17.69,816930498.0,-16.82,-1265672516.0,-150.32,-132.76,27.15,44.9,15.51,,,,,-22.03,27228926.0,62.0,249.0,,83.0,46.0,,101.0,,86.0,,96.0,77.0,,,,,,,,,,,1089716873.0,130.0,,225.0,,,
以山辰泰医疗器械公司,119719,2022,1816615658.48,191931538.9,1552.0,1201315599.78,31.89,17862389.38,27.91,225547589.36,25.89,29.12,128.38,1.46,0.66,,-103.0,116.0,165.41,54.65,9066322.02,70.0,170.0,,33.0,47.0,,9.0,,6.0,,11.0,6.0,7.61,,,,,,,,,,578393490.9,347.0,,86.0,,,
比迪汽路汽车制造公司,119743,2022,71491035951.0,-9138970146.0,15801.0,26855164934.0,48.33,5214831261.0,27.93,-8705528723.0,-32.37,-87.99,26.77,19.45,-0.13,,,6317.0,19.72,13.2,214481638.0,791.0,23.0,,5.0,3.0,,,,,,4.0,4.0,39.83,,,,,,,,,,34580313613.0,66.0,,23.0,,,
普各元生医药公司,119918,2022,18979697637.0,1581020988.0,14016.0,11334201152.0,44.1,593606945.0,16.84,2006764917.0,66.84,59.7,27.6,5.23,0.46,,,,,5.28,75866411.0,113.0,323.0,8.0,57.0,15.0,,4.0,3.0,4.0,3.0,5.0,4.0,,,,,,,,,,,8370190832.0,377.0,,102.0,8.0,,
丁波建工昌泽集团公司,119978,2022,2586145682.02,58231192.5,376.0,611067096.0,42.08,2897679.43,-21.12,74730392.69,-29.3,-27.26,16.66,0.41,0.19,,,19.0,138.5,-5.0,12190530.32,44.0,75.0,,13.0,8.0,,7.0,,4.0,,11.0,3.0,5.01,,,,,,,,,,1086549075.23,85.0,,24.0,,,
众轮达创设备公司,120212,2022,2383610489.89,177751109.25,2594.0,1363358720.06,27.07,82073522.34,21.82,206654453.68,44.8,55.05,49.13,6.01,1.1,,,387.0,4.1,2.79,8553697.8,45.0,327.0,7.0,23.0,23.0,,31.0,,4.0,,25.0,2.0,14.64,,,,,,,,,,643856051.7,662.0,,83.0,7.0,,
正德泰创高压开关公司,120431,2022,1455740647.76,-77445459.84,796.0,433075436.5,41.1,30324238.91,-26.63,-75299212.26,3.89,-41.83,3.14,7.0,2.05,,,192.0,-11.18,-3.91,8610133.13,24.0,750.0,,29.0,18.0,,60.0,,15.0,,67.0,11.0,24.04,,,,,,,,,,598760159.95,295.0,,86.0,,,
华鲁源昌石化公司,120447,2022,2994487155.01,151772803.9,795.0,680661669.75,11.86,49552949.54,21.31,158896931.74,7.18,13.55,34.0,7.22,0.66,,,151.0,0.68,19.7,18714718.34,37.0,346.0,2.0,145.0,45.0,,40.0,,39.0,,44.0,35.0,19.26,,,,,,,,,,354727936.37,994.0,,295.0,2.0,,
荣盛化盛化学公司,120466,2022,11972461396.87,388125180.71,4565.0,6944901691.42,43.62,343639530.45,-13.13,427976328.78,24.61,6.65,7.89,4.98,0.96,64375261.64,171.32,620.0,12.78,-0.21,124349924.6,78.0,1835.0,14.0,356.0,385.0,,180.0,3.0,99.0,3.0,167.0,57.0,13.77,,,,,,,,,,5230705754.12,5086.0,,1047.0,14.0,30.0,2.0
罗安锦绣时尚公司,120563,2022,63914199.0,-6750433.0,210.0,67251918.0,21.56,,-9.67,-6661928.0,-400.99,-371.04,,,,,,,,-1.86,464023.0,1.6,,,,,,,,,,,,,,,,,,,,,,13774371.0,,,,,,
康原辰泰医疗科技公司,120591,2022,9669691735.5,113244550.0,1854.0,4527770304.5,73.58,136063112.74,0.94,175823862.0,-11.04,-16.16,4.28,3.03,0.1,,,,,-1.57,1857445.0,67.0,,,,,,,,,,,,,,,,,,,,,,7111315113.0,,,,,,
午继泽创电气公司,121003,2022,1640099552.66,-76131148.18,1068.0,1671637822.5,49.02,71478362.39,399.9,-77320618.83,-203.34,-110.15,2.3,4.29,-16.24,,,226.0,50.6,0.88,28528943.8,7.82,339.0,3.0,26.0,26.0,,127.0,,70.0,,35.0,6.0,20.7,,,,,,,,,,804178789.06,691.0,,196.0,3.0,,
亚玮锦工科技公司,121048,2022,778623978.79,50131042.67,599.0,300828025.6,38.29,17920555.12,-19.87,43084483.27,-25.27,-1.53,19.15,5.97,1.94,,,149.0,-3.97,-8.7,6715368.4,24.0,130.0,,3.0,12.0,,17.0,,3.0,,14.0,1.0,24.54,,,,,,,,,,298056586.09,265.0,,20.0,,,
宝新慧信软件公司,121296,2022,1359915086.48,34808690.0,516.0,292831504.87,8.86,104371938.04,-19.13,34173050.27,-66.94,-63.54,2.43,35.6,7.52,,,269.0,4.36,3.87,2721319.11,23.0,202.0,,110.0,7.0,,22.0,,22.0,,17.0,17.0,51.3,,,,,,,,,,120908019.54,614.0,,164.0,,,
东车数数网络公司,121633,2022,17142090972.0,-611106973.0,2558.0,6159828865.0,21.46,656019828.0,-16.04,-697845736.0,57.55,60.3,,10.62,,,,,,-25.34,81819182.0,199.0,373.0,93.0,34.0,30.0,,13.0,,6.0,,21.0,17.0,,,,,,,,,,,3683561924.0,1384.0,,342.0,93.0,,
峰环盛净垃圾处理公司,121869,2022,7881296001.46,-467917173.94,1143.0,5610241791.93,28.35,117475725.43,-35.8,-428791275.47,-296.21,-55960.82,-60.42,2.08,-1.34,,,69.0,-83.07,-63.23,87968640.77,50.0,175.0,,22.0,18.0,,1.0,,,,17.0,1.0,6.06,,,,,,,,,,2234910055.31,239.0,,47.0,,,
华仁元康医疗科技公司,121956,2022,30001896385.0,2583741171.0,10575.0,9382411729.0,24.59,1693311124.0,-5.58,2948422237.0,-10.68,-4.74,-5.76,18.08,-0.01,,,1529.0,-7.88,388.48,117089144.0,684.0,231.0,103.0,82.0,18.0,,23.0,20.0,23.0,20.0,27.0,23.0,14.42,,,,,,,,,,7354938298.0,1215.0,,229.0,107.0,,
江怀锦腾汽车公司,121961,2022,932613235.36,46917553.17,1234.0,576142781.43,33.34,28546040.81,12.46,49744809.6,-7.52,-5.01,5.2,4.96,-0.3,,,66.0,10.0,-2.28,4167714.42,24.0,224.0,,49.0,49.0,,35.0,,24.0,,20.0,7.0,5.36,,,,,,,,,,311000097.1,368.0,,158.0,,,
瞬丰运达运输公司,122209,2022,2081086570.05,38937652.18,2962.0,739850588.96,52.14,1229792.0,1.03,43125144.07,173.28,154.53,,0.13,,,,5.0,,-3.88,39450997.37,60.0,4.0,,,,,,,,,,,0.18,,,,,,,,,,1084786347.45,,,,,,
红气汇源连锁公司,122278,2022,871472748.49,53518735.85,682.0,1610370443.92,7.0,859376.53,28.52,66338642.32,-19.28,-23.81,10.69,0.09,-0.09,,,6.0,,-9.65,3516382.05,32.0,182.0,,,,,24.0,,1.0,,12.0,,0.83,,,,,,,,,,61080084.69,2.0,,1.0,,,
